City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
188,Naryan-Mar,67.6713,53.087,8.99,75,33,3.72,RU,1684792013
189,Wellington,-41.2866,174.7756,11.98,97,0,1.03,NZ,1684791500
190,Biltine,14.5333,20.9167,32.49,29,9,1.92,TD,1684792013
191,Saltillo,25.4167,-101.0,26.92,36,40,7.72,MX,1684791830
192,Truckee,39.328,-120.1833,26.71,25,20,8.23,US,1684791917
193,Shalqar,47.8333,59.6,18.74,29,91,7.86,KZ,1684792013
194,Kitob,39.0843,66.8332,23.96,30,100,2.18,UZ,1684792014
195,Kavalerovo,44.2661,135.0572,10.13,85,1,1.28,RU,1684792014
196,Maymana,35.9214,64.7836,25.66,28,99,2.51,AF,1684792014
197,Upington,-28.4478,21.2561,14.17,25,86,3.63,ZA,1684792014
198,Tangalle,6.024,80.7911,26.09,90,27,3.3,LK,1684792014
199,Auki,-8.7676,160.7034,28.02,76,98,1.86,SB,1684792014
200,Kourou,5.1552,-52.6478,25.03,90,99,3.94,GF,1684791860
201,Chibuto,-24.6867,33.5306,16.13,90,19,2.05,MZ,1684792014
202,Saint Paul Harbor,57.79,-152.4072,6.73,93,100,12.35,US,1684792015
203,Cruzeiro do Sul,-29.5128,-51.9853,20.28,90,21,0.76,BR,1684792015
204,Viedma,-40.8135,-62.9967,13.06,42,35,3.31,AR,1684792015
205,Nevinnomyssk,44.6267,41.9453,12.99,94,12,1.97,RU,1684792015
206,Talnakh,69.4865,88.3972,0.67,99,100,4.46,RU,1684791741
207,Prey Veng,11.4868,105.3253,26.55,76,100,2.02,KH,1684792015
208,Lompoc,34.6391,-120.4579,27.05,79,75,3.6,US,1684792016
209,Gualeguay,-33.1416,-59.3097,18.28,91,100,2.31,AR,1684792016
210,Itoman,26.1247,127.6694,22.21,88,75,11.32,JP,1684792016
211,As Suwayq,23.8494,57.4386,32.64,43,34,1.35,OM,1684792016
212,Kingston,17.997,-76.7936,30.53,78,75,4.12,JM,1684792016
213,Dunedin,-45.8742,170.5036,9.33,82,100,0.45,NZ,1684792016
214,Kampong Cham,11.9934,105.4635,25.45,81,100,1.25,KH,1684792016
215,Kyustendil,42.2839,22.6911,11.09,91,32,1.76,BG,1684792016
216,Qūchān,37.106,58.5095,17.99,55,16,0.41,IR,1684792017
217,Hafar Al-Batin,28.4328,45.9708,31.32,33,75,14.4,SA,1684792017
218,Caçapava do Sul,-30.5122,-53.4914,14.97,94,51,1.23,BR,1684792017
219,Orkney,-26.9802,26.6727,11.65,36,30,1.45,ZA,1684792017
220,Kupang,-10.1667,123.5833,23.43,80,46,4.8,ID,1684792017
221,Ratnagiri,16.9833,73.3,27.29,84,5,3.37,IN,1684792017
222,Nikolayevsk-on-Amur,53.1406,140.73,9.15,56,3,1.22,RU,1684792017
223,Katima Mulilo,-17.5,24.2667,17.81,31,7,2.0,NA,1684792017
224,Healesville,-37.65,145.5167,11.86,97,81,1.35,AU,1684792018
225,Fale old settlement,-9.3852,-171.2468,28.57,75,77,5.82,TK,1684792018
226,Barcelos,41.5388,-8.6151,19.91,67,85,2.16,PT,1684792018
227,Bulungu,-4.55,18.6,21.55,98,97,0.71,CD,1684792018
228,Lihue,21.9789,-159.3672,26.77,72,40,6.17,US,1684792018
229,Usogorsk,63.4106,48.6872,13.2,61,98,1.57,RU,1684792018
230,Isiro,2.7739,27.616,20.02,100,80,1.42,CD,1684792018
231,Taksimo,56.3444,114.8794,9.94,65,51,1.19,RU,1684791781
232,Ghat,24.9647,10.1728,29.3,5,47,2.77,LY,1684792019
233,Navoiy,40.0844,65.3792,26.71,22,100,4.12,UZ,1684792019
234,Mikhaylovskoye,51.8239,79.7172,13.05,49,34,3.16,RU,1684792019
235,Toliara,-23.35,43.6667,20.74,77,1,1.97,MG,1684792019
236,Coquimbo,-29.9533,-71.3436,16.85,88,75,3.09,CL,1684791798
237,Cape Canaveral,28.4058,-80.6048,28.04,83,20,5.66,US,1684792019
238,Muragācha,23.5333,88.4,28.26,82,14,4.3,IN,1684792019
239,Adrar,20.5022,-10.0711,28.64,18,21,5.93,MR,1684792020
240,Chul'man,56.8479,124.9104,2.21,95,97,1.84,RU,1684792020
241,Conde,-7.2597,-34.9075,25.7,89,20,2.57,BR,1684791850
242,Dzhezkazgan,47.7833,67.7667,14.32,43,32,4.46,KZ,1684792020
243,Benisheikh,11.8072,12.4909,30.22,45,25,3.06,NG,1684792020
244,Butajīra,8.1167,38.3667,16.3,73,26,1.49,ET,1684792020
245,Saint-Philippe,-21.3585,55.7679,23.77,76,9,1.4,RE,1684792020
246,Arti,56.4234,58.5328,12.88,54,41,1.2,RU,1684792020
247,Ridder,50.355,83.5133,5.37,79,7,2.72,KZ,1684792020
248,Korwai,24.1167,78.0419,31.97,28,5,3.39,IN,1684792021
249,Coahuayana de Hidalgo,18.7,-103.6583,32.61,52,59,3.36,MX,1684792021
250,Las Heras,-46.5419,-68.9359,4.55,49,51,4.0,AR,1684792021
251,Port Lincoln,-34.7333,135.8667,13.68,75,100,4.09,AU,1684791760
252,Opuwo,-18.0607,13.84,17.33,46,1,1.69,NA,1684792021
253,Parintins,-2.6283,-56.7358,25.21,92,24,1.27,BR,1684792021
254,Bentiu,9.2333,29.8333,33.97,28,88,1.89,SS,1684792021
255,Atafu Village,-8.5421,-172.5159,28.34,76,68,4.47,TK,1684792022
256,Kharp,66.8014,65.8081,8.88,84,23,3.8,RU,1684792022
257,Codrington,-38.2667,141.9667,11.89,72,100,4.02,AU,1684792022
258,Port Mathurin,-19.6833,63.4167,24.77,71,3,2.77,MU,1684791749
259,Sept-Îles,50.2001,-66.3821,7.29,63,20,5.14,CA,1684792023
260,Kangar,6.4414,100.1986,23.98,88,97,1.71,MY,1684792023
261,Yung Shue Wan,22.2333,114.1167,28.75,85,100,4.34,HK,1684792023
262,Fort McMurray,56.7268,-111.381,19.77,59,100,5.14,CA,1684791875
263,Wagar,16.1525,36.2032,30.36,41,0,5.13,SD,1684792024
264,Mitsamiouli,-11.3847,43.2844,26.63,76,18,3.2,KM,1684792024
265,Arrondissement de Verdun,49.25,5.3333,16.2,96,100,2.46,FR,1684792024
266,Susuman,62.7833,148.1667,3.71,71,98,1.2,RU,1684792024
267,Bandarbeyla,9.4942,50.8122,27.11,85,43,4.04,SO,1684792025
268,Pingliang,35.5392,106.6861,8.78,49,100,2.12,CN,1684792025
269,Danielskuil,-28.1887,23.5395,10.87,32,64,3.22,ZA,1684792026
270,Stanley,54.868,-1.6985,9.88,88,0,0.51,GB,1684792026
271,Hammerfest,70.6634,23.6821,11.25,62,0,2.06,NO,1684792027
272,Freetown,8.484,-13.2299,27.84,78,75,4.12,SL,1684792008
273,Kapaa,22.0752,-159.319,27.18,72,40,6.17,US,1684792027
274,Priozersk,61.0393,30.1291,11.64,88,44,2.51,RU,1684792027
275,Carnarvon,-24.8667,113.6333,19.69,42,100,2.7,AU,1684792028
276,Hithadhoo,-0.6,73.0833,28.4,70,0,1.12,MV,1684792028
277,El Matama,16.7095,33.3565,32.63,12,0,5.27,SD,1684792028
278,Zaraza,9.3503,-65.3245,24.57,89,100,1.0,VE,1684792028
279,Tandil,-37.3217,-59.1332,14.27,95,78,1.41,AR,1684792029
280,Vilhena,-12.7406,-60.1458,28.12,69,40,1.03,BR,1684791976
281,Tarauacá,-8.1614,-70.7656,25.82,91,94,1.15,BR,1684792030
282,Geraldton,-28.7667,114.6,13.23,54,100,7.2,AU,1684792030
283,Tibanbang,6.6315,126.1055,27.37,81,81,3.79,PH,1684792030
284,Okahandja,-21.9833,16.9167,17.45,24,9,1.79,NA,1684792031
285,Galliano,29.4422,-90.2992,31.67,51,75,2.06,US,1684792031
286,Saldanha,-33.0117,17.9442,12.03,78,100,4.42,ZA,1684791754
287,Kapuskasing,49.4169,-82.4331,20.05,22,75,3.09,CA,1684792032
288,Kangaba,11.9333,-8.4167,30.09,52,90,1.53,ML,1684792032
289,Lorengau,-2.0226,147.2712,28.16,77,91,7.06,PG,1684792032
290,Lloydminster,53.2835,-110.0016,27.12,32,75,5.66,CA,1684791958
291,Sinop Province,41.7711,34.8709,11.39,96,80,0.57,TR,1684792032
292,Moab,38.5733,-109.5498,28.03,24,55,0.89,US,1684792033
293,Inderbor,48.55,51.7833,20.41,52,100,5.82,KZ,1684792033
294,Zhigalovo,54.8097,105.1578,7.97,76,14,1.14,RU,1684792033
295,Ilulissat,69.2167,-51.1,0.01,69,0,8.23,GL,1684792033
296,Coari,-4.085,-63.1414,26.05,91,55,1.64,BR,1684792034
297,Wotho,10.1657,166.0102,27.26,82,74,4.84,MH,1684792034
298,Long Beach,33.767,-118.1892,26.84,81,100,3.6,US,1684791518
299,Nieuw Amsterdam,5.8833,-55.0833,28.01,84,40,2.06,SR,1684792034
300,Silver City,32.7701,-108.2803,27.98,18,40,4.63,US,1684792035
301,Taungdwingyi,20.0167,95.55,27.67,64,7,2.76,MM,1684792035
302,Chonchi,-42.6128,-73.8092,9.51,87,100,4.48,CL,1684792035
303,Natal,-5.795,-35.2094,27.36,83,20,4.63,BR,1684791911
304,Teknāf,20.8624,92.3058,26.34,89,1,0.71,BD,1684792036
305,Ambalavao,-21.8333,46.9333,13.17,69,0,0.41,MG,1684791818
306,Arauca,7.0847,-70.7591,27.98,78,75,2.57,CO,1684792036
307,Charters Towers,-20.1,146.2667,14.99,54,22,3.61,AU,1684792037
308,Zheleznogorsk,52.331,35.3711,12.53,91,100,3.02,RU,1684792037
309,Safaga,26.7292,33.9365,28.95,45,75,2.6,EG,1684792037
310,Altay,47.8667,88.1167,7.9,67,5,2.67,CN,1684792037
311,Huarmey,-10.0681,-78.1522,23.71,73,25,4.46,PE,1684791764
